geoid,tract_name,borough,B25003_E001,B25003_M001,B25003_E002,B25003_M002,B25003_E003,B25003_M003
1400000US36005024400,"Census Tract 244, Bronx County, New York",Bronx,830,153,266,83,564,146
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",Bronx,1630,112,152,104,1478,155
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",Bronx,1256,203,157,118,1099,220
1400000US36005024600,"Census Tract 246, Bronx County, New York",Bronx,774,141,293,91,481,128
1400000US36005024700,"Census Tract 247, Bronx County, New York",Bronx,735,78,11,17,724,77
1400000US36005024800,"Census Tract 248, Bronx County, New York",Bronx,1250,164,333,110,917,175
1400000US36005024900,"Census Tract 249, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005025000,"Census Tract 250, Bronx County, New York",Bronx,905,147,478,146,427,126
1400000US36005025100,"Census Tract 251, Bronx County, New York",Bronx,2314,276,366,223,1948,244
1400000US36005025200,"Census Tract 252, Bronx County, New York",Bronx,921,118,265,96,656,131
1400000US36005025300,"Census Tract 253, Bronx County, New York",Bronx,1862,193,27,35,1835,195
1400000US36005025400,"Census Tract 254, Bronx County, New York",Bronx,833,103,337,101,496,118
1400000US36005025500,"Census Tract 255, Bronx County, New York",Bronx,2311,404,8,12,2303,403
1400000US36005025600,"Census Tract 256, Bronx County, New York",Bronx,626,107,175,62,451,117
1400000US36005025700,"Census Tract 257, Bronx County, New York",Bronx,656,98,49,50,607,97
1400000US36005026100,"Census Tract 261, Bronx County, New York",Bronx,1126,230,995,243,131,67
1400000US36005026300,"Census Tract 263, Bronx County, New York",Bronx,2248,330,0,19,2248,330
1400000US36005026400,"Census Tract 264, Bronx County, New York",Bronx,2227,280,634,244,1593,308
1400000US36005026500,"Census Tract 265, Bronx County, New York",Bronx,2181,323,85,76,2096,334
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",Bronx,1400,135,194,94,1206,127
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",Bronx,2532,378,460,160,2072,397
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",Bronx,1290,205,16,28,1274,205
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",Bronx,2546,495,449,473,2097,170
1400000US36005026900,"Census Tract 269, Bronx County, New York",Bronx,1926,401,120,69,1806,406
1400000US36005027300,"Census Tract 273, Bronx County, New York",Bronx,2979,514,231,154,2748,544
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",Bronx,1840,166,1331,175,509,156
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",Bronx,1316,194,914,241,402,137
1400000US36005027600,"Census Tract 276, Bronx County, New York",Bronx,31,38,20,35,11,16
1400000US36005027700,"Census Tract 277, Bronx County, New York",Bronx,1790,174,186,107,1604,217
1400000US36005027900,"Census Tract 279, Bronx County, New York",Bronx,3017,323,635,193,2382,300
1400000US36005028100,"Census Tract 281, Bronx County, New York",Bronx,1673,221,755,232,918,187
1400000US36005028300,"Census Tract 283, Bronx County, New York",Bronx,1044,312,59,48,985,313
1400000US36005028400,"Census Tract 284, Bronx County, New York",Bronx,0,14,0,14,0,14
1400000US36005028500,"Census Tract 285, Bronx County, New York",Bronx,1799,244,448,229,1351,169
1400000US36005028600,"Census Tract 286, Bronx County, New York",Bronx,532,107,231,69,301,104
1400000US36005028700,"Census Tract 287, Bronx County, New York",Bronx,1244,129,484,128,760,148
1400000US36005028800,"Census Tract 288, Bronx County, New York",Bronx,1046,145,534,156,512,105
1400000US36005028900,"Census Tract 289, Bronx County, New York",Bronx,1861,242,412,151,1449,264
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",Bronx,939,81,806,85,133,58
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",Bronx,2652,272,1769,309,883,205
1400000US36005029500,"Census Tract 295, Bronx County, New York",Bronx,2014,240,1290,289,724,240
1400000US36005029600,"Census Tract 296, Bronx County, New York",Bronx,1098,134,123,59,975,150
1400000US36005029700,"Census Tract 297, Bronx County, New York",Bronx,1887,235,1080,155,807,267
1400000US36005030000,"Census Tract 300, Bronx County, New York",Bronx,2560,296,824,206,1736,310
1400000US36005030100,"Census Tract 301, Bronx County, New York",Bronx,692,95,266,69,426,96
1400000US36005030201,"Census Tract 302.01, Bronx County, New York",Bronx,1686,184,759,171,927,230
