geoid,tract_name,borough,B19013_E001,B19013_M001
1400000US36005023501,"Census Tract 235.01, Bronx County, New York",Bronx,19940,16137
1400000US36005023502,"Census Tract 235.02, Bronx County, New York",Bronx,41780,24061
1400000US36005023600,"Census Tract 236, Bronx County, New York",Bronx,52368,38608
1400000US36005023702,"Census Tract 237.02, Bronx County, New York",Bronx,34922,22957
1400000US36005023703,"Census Tract 237.03, Bronx County, New York",Bronx,32892,19804
1400000US36005023704,"Census Tract 237.04, Bronx County, New York",Bronx,32228,8934
1400000US36005023800,"Census Tract 238, Bronx County, New York",Bronx,64408,17539
1400000US36005023900,"Census Tract 239, Bronx County, New York",Bronx,37543,21661
1400000US36005024000,"Census Tract 240, Bronx County, New York",Bronx,68832,29377
1400000US36005024100,"Census Tract 241, Bronx County, New York",Bronx,22361,19412
1400000US36005024300,"Census Tract 243, Bronx County, New York",Bronx,30446,11340
1400000US36005024400,"Census Tract 244, Bronx County, New York",Bronx,82083,22258
1400000US36005024501,"Census Tract 245.01, Bronx County, New York",Bronx,45900,9779
1400000US36005024502,"Census Tract 245.02, Bronx County, New York",Bronx,60221,23314
1400000US36005024600,"Census Tract 246, Bronx County, New York",Bronx,97115,17244
1400000US36005024700,"Census Tract 247, Bronx County, New York",Bronx,48906,19358
1400000US36005024800,"Census Tract 248, Bronx County, New York",Bronx,61210,16526
1400000US36005024900,"Census Tract 249, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005025000,"Census Tract 250, Bronx County, New York",Bronx,109896,63212
1400000US36005025100,"Census Tract 251, Bronx County, New York",Bronx,36845,11386
1400000US36005025200,"Census Tract 252, Bronx County, New York",Bronx,83688,25196
1400000US36005025300,"Census Tract 253, Bronx County, New York",Bronx,42976,15429
1400000US36005025400,"Census Tract 254, Bronx County, New York",Bronx,90108,13890
1400000US36005025500,"Census Tract 255, Bronx County, New York",Bronx,49159,31787
1400000US36005025600,"Census Tract 256, Bronx County, New York",Bronx,60815,11650
1400000US36005025700,"Census Tract 257, Bronx County, New York",Bronx,38667,30661
1400000US36005026100,"Census Tract 261, Bronx County, New York",Bronx,59242,30296
1400000US36005026300,"Census Tract 263, Bronx County, New York",Bronx,42100,11695
1400000US36005026400,"Census Tract 264, Bronx County, New York",Bronx,65337,29075
1400000US36005026500,"Census Tract 265, Bronx County, New York",Bronx,71688,11270
1400000US36005026601,"Census Tract 266.01, Bronx County, New York",Bronx,51042,13575
1400000US36005026602,"Census Tract 266.02, Bronx County, New York",Bronx,53969,11533
1400000US36005026701,"Census Tract 267.01, Bronx County, New York",Bronx,52286,9192
1400000US36005026702,"Census Tract 267.02, Bronx County, New York",Bronx,75924,36932
1400000US36005026900,"Census Tract 269, Bronx County, New York",Bronx,27569,14647
1400000US36005027300,"Census Tract 273, Bronx County, New York",Bronx,51730,13590
1400000US36005027401,"Census Tract 274.01, Bronx County, New York",Bronx,105346,36772
1400000US36005027402,"Census Tract 274.02, Bronx County, New York",Bronx,108235,23859
1400000US36005027600,"Census Tract 276, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005027700,"Census Tract 277, Bronx County, New York",Bronx,48750,32539
1400000US36005027900,"Census Tract 279, Bronx County, New York",Bronx,72721,9462
1400000US36005028100,"Census Tract 281, Bronx County, New York",Bronx,65982,22571
1400000US36005028300,"Census Tract 283, Bronx County, New York",Bronx,13796,3491
1400000US36005028400,"Census Tract 284, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005028500,"Census Tract 285, Bronx County, New York",Bronx,70659,15837
1400000US36005028600,"Census Tract 286, Bronx County, New York",Bronx,72692,46379
1400000US36005028700,"Census Tract 287, Bronx County, New York",Bronx,62500,23405
1400000US36005028800,"Census Tract 288, Bronx County, New York",Bronx,97969,18828
1400000US36005028900,"Census Tract 289, Bronx County, New York",Bronx,61797,11882
1400000US36005029301,"Census Tract 293.01, Bronx County, New York",Bronx,145951,18320
1400000US36005029302,"Census Tract 293.02, Bronx County, New York",Bronx,133102,24240
1400000US36005029500,"Census Tract 295, Bronx County, New York",Bronx,98125,20623
1400000US36005029600,"Census Tract 296, Bronx County, New York",Bronx,57474,6042
1400000US36005029700,"Census Tract 297, Bronx County, New York",Bronx,100548,27599
1400000US36005030000,"Census Tract 300, Bronx County, New York",Bronx,78155,14953
1400000US36005030100,"Census Tract 301, Bronx County, New York",Bronx,80357,16560
1400000US36005030201,"Census Tract 302.01, Bronx County, New York",Bronx,69500,15761
1400000US36005030202,"Census Tract 302.02, Bronx County, New York",Bronx,74044,18374
1400000US36005030701,"Census Tract 307.01, Bronx County, New York",Bronx,109890,20470
1400000US36005030900,"Census Tract 309, Bronx County, New York",Bronx,117333,49636
1400000US36005031000,"Census Tract 310, Bronx County, New York",Bronx,148168,33500
1400000US36005031200,"Census Tract 312, Bronx County, New York",Bronx,108056,40504
1400000US36005031400,"Census Tract 314, Bronx County, New York",Bronx,111800,22032
1400000US36005031600,"Census Tract 316, Bronx County, New York",Bronx,79263,27877
1400000US36005031800,"Census Tract 318, Bronx County, New York",Bronx,96000,19711
1400000US36005031900,"Census Tract 319, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005032300,"Census Tract 323, Bronx County, New York",Bronx,95556,22034
1400000US36005032400,"Census Tract 324, Bronx County, New York",Bronx,31489,11302
1400000US36005032600,"Census Tract 326, Bronx County, New York",Bronx,89323,34551
1400000US36005032800,"Census Tract 328, Bronx County, New York",Bronx,49720,7440
1400000US36005033000,"Census Tract 330, Bronx County, New York",Bronx,40133,19261
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",Bronx,35360,12201
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",Bronx,50245,13700
1400000US36005033400,"Census Tract 334, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005033500,"Census Tract 335, Bronx County, New York",Bronx,109867,9403
1400000US36005033601,"Census Tract 336.01, Bronx County, New York",Bronx,20765,8049
1400000US36005033602,"Census Tract 336.02, Bronx County, New York",Bronx,70475,26910
1400000US36005033700,"Census Tract 337, Bronx County, New York",Bronx,125273,52756
1400000US36005033801,"Census Tract 338.01, Bronx County, New York",Bronx,72725,12395
