geoid,tract_name,borough,B05002_E001,B05002_M001,B05002_E002,B05002_M002,B05002_E003,B05002_M003,B05002_E004,B05002_M004,B05002_E005,B05002_M005,B05002_E006,B05002_M006,B05002_E007,B05002_M007,B05002_E008,B05002_M008,B05002_E009,B05002_M009,B05002_E010,B05002_M010,B05002_E011,B05002_M011,B05002_E012,B05002_M012,B05002_E013,B05002_M013,B05002_E014,B05002_M014,B05002_E015,B05002_M015,B05002_E016,B05002_M016,B05002_E017,B05002_M017,B05002_E018,B05002_M018,B05002_E019,B05002_M019,B05002_E020,B05002_M020,B05002_E021,B05002_M021,B05002_E022,B05002_M022,B05002_E023,B05002_M023,B05002_E024,B05002_M024,B05002_E025,B05002_M025,B05002_E026,B05002_M026,B05002_E027,B05002_M027
1400000US36005015900,"Census Tract 159, Bronx County, New York",Bronx,2407,489,1854,355,1569,381,102,68,0,14,6,13,96,69,0,14,183,137,108,63,0,14,75,124,553,252,341,215,0,14,56,78,0,14,0,14,285,200,0,14,212,151,0,14,0,14,73,111,0,14,139,111,0,14
1400000US36005016000,"Census Tract 160, Bronx County, New York",Bronx,3848,562,3114,521,2886,512,98,77,47,60,11,15,40,46,0,14,130,80,34,31,0,14,96,64,734,349,307,148,44,50,120,70,27,43,0,14,116,103,0,14,427,254,33,54,91,73,0,14,0,14,303,239,0,14
1400000US36005016100,"Census Tract 161, Bronx County, New York",Bronx,4703,695,3638,540,3004,498,210,145,126,119,0,14,84,75,0,14,424,234,424,234,0,14,0,14,1065,459,662,309,0,14,0,14,44,56,0,14,618,302,0,14,403,305,0,14,23,40,0,14,0,14,380,317,0,14
1400000US36005016200,"Census Tract 162, Bronx County, New York",Bronx,1885,403,1541,357,1263,311,113,68,29,22,6,10,44,32,34,32,165,79,97,57,0,14,68,49,344,142,232,108,23,22,16,19,15,23,0,14,178,104,0,14,112,66,9,11,21,22,5,10,0,14,77,61,0,14
1400000US36005016300,"Census Tract 163, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005016400,"Census Tract 164, Bronx County, New York",Bronx,1132,310,688,249,643,253,19,18,0,14,0,14,13,15,6,11,26,27,4,6,0,14,22,26,444,186,358,126,72,60,139,110,31,40,0,14,116,75,0,14,86,81,1,3,61,76,0,14,0,14,24,36,0,14
1400000US36005016500,"Census Tract 165, Bronx County, New York",Bronx,1311,285,880,201,695,194,116,94,11,17,14,21,78,84,13,19,69,63,5,7,0,14,64,62,431,190,256,134,0,14,0,14,54,51,0,14,202,133,0,14,175,100,0,14,0,14,61,57,0,14,114,90,0,14
1400000US36005016600,"Census Tract 166, Bronx County, New York",Bronx,2395,399,2050,377,1886,375,62,47,8,13,34,43,10,19,10,11,102,60,94,60,0,14,8,16,345,114,303,109,24,31,36,23,43,47,0,14,200,76,0,14,42,33,7,13,24,23,1,2,0,14,10,13,0,14
1400000US36005016700,"Census Tract 167, Bronx County, New York",Bronx,3015,400,2303,349,2044,347,102,71,19,42,0,14,73,68,10,23,157,90,138,82,0,14,19,38,712,191,393,158,0,14,0,14,162,78,0,14,231,119,0,14,319,147,0,14,0,14,54,42,0,14,265,136,0,14
1400000US36005016900,"Census Tract 169, Bronx County, New York",Bronx,1944,312,1526,297,1341,271,91,48,51,50,0,14,40,53,0,14,94,80,52,49,0,14,42,60,418,146,251,95,9,20,5,10,48,49,0,14,189,81,0,14,167,99,0,14,0,14,49,56,0,14,118,81,0,14
