geoid,tract_name,borough,B15003_E001,B15003_M001,B15003_E002,B15003_M002,B15003_E003,B15003_M003,B15003_E004,B15003_M004,B15003_E005,B15003_M005,B15003_E006,B15003_M006,B15003_E007,B15003_M007,B15003_E008,B15003_M008,B15003_E009,B15003_M009,B15003_E010,B15003_M010,B15003_E011,B15003_M011,B15003_E012,B15003_M012,B15003_E013,B15003_M013,B15003_E014,B15003_M014,B15003_E015,B15003_M015,B15003_E016,B15003_M016,B15003_E017,B15003_M017,B15003_E018,B15003_M018,B15003_E019,B15003_M019,B15003_E020,B15003_M020,B15003_E021,B15003_M021,B15003_E022,B15003_M022,B15003_E023,B15003_M023,B15003_E024,B15003_M024,B15003_E025,B15003_M025
1400000US36005044902,"Census Tract 449.02, Bronx County, New York",Bronx,1778,339,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,5,9,70,71,5,8,340,118,139,90,88,53,148,67,223,100,419,148,277,107,47,33,17,18
1400000US36005045101,"Census Tract 451.01, Bronx County, New York",Bronx,1391,286,22,18,0,14,0,14,0,14,0,14,0,14,0,14,0,14,2,5,0,14,38,36,0,14,0,14,0,14,10,15,128,67,14,19,95,56,68,43,53,36,408,293,348,99,148,75,57,41
1400000US36005045102,"Census Tract 451.02, Bronx County, New York",Bronx,1593,260,0,14,0,14,0,14,0,14,0,14,0,14,0,14,11,16,0,14,15,18,0,14,0,14,16,18,0,14,26,31,435,156,62,43,60,34,137,88,52,31,388,136,287,102,49,40,55,62
1400000US36005045600,"Census Tract 456, Bronx County, New York",Bronx,2619,390,80,90,0,14,0,14,28,49,0,14,0,14,0,14,11,19,69,82,0,14,12,22,36,47,53,75,22,30,0,14,868,282,41,36,63,67,368,222,57,65,724,243,168,127,0,14,19,34
1400000US36005045800,"Census Tract 458, Bronx County, New York",Bronx,3220,523,197,187,0,19,0,19,0,19,0,19,0,19,0,19,0,19,14,31,37,56,76,87,51,63,219,146,289,269,301,209,686,298,228,165,134,129,161,140,105,123,434,215,264,343,24,49,0,19
1400000US36005046000,"Census Tract 460, Bronx County, New York",Bronx,1989,440,18,26,0,14,0,14,0,14,0,14,0,14,0,14,0,14,58,76,22,26,10,9,20,29,67,51,93,121,149,77,546,175,79,54,87,83,249,154,223,149,256,185,85,66,4,14,23,27
1400000US36005046203,"Census Tract 462.03, Bronx County, New York",Bronx,5110,1037,218,148,0,19,0,19,0,19,0,19,6,13,33,34,12,21,49,49,6,16,57,41,4,11,70,58,94,104,723,496,1603,568,244,174,288,193,460,231,402,362,549,186,292,161,0,19,0,19
1400000US36005046204,"Census Tract 462.04, Bronx County, New York",Bronx,3711,651,58,57,0,19,0,19,0,19,7,13,22,36,0,19,0,19,0,19,0,19,0,19,22,36,57,63,0,19,153,140,658,301,161,117,344,221,746,425,300,164,664,323,476,236,43,62,0,19
1400000US36005046205,"Census Tract 462.05, Bronx County, New York",Bronx,2896,332,67,58,22,37,0,14,0,14,0,14,0,14,0,14,18,31,0,14,0,14,36,53,13,21,0,14,67,90,81,68,723,295,152,128,55,54,164,107,275,205,667,292,530,300,0,14,26,47
1400000US36005046206,"Census Tract 462.06, Bronx County, New York",Bronx,3331,473,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,156,88,29,60,0,14,10,21,17,50,4,47,60,73,979,416,70,87,369,350,466,238,124,91,734,269,309,205,4,15,0,14
