geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36047017400,"Census Tract 174, Kings County, New York",Brooklyn,986,202,416,128,363,120,53,44,53,44,0,14,0,14,0,14,0,14,396,158,143,84,253,133,0,14,0,14,0,14,0,14,0,14,18,20,24,23,0,14,132,62
1400000US36047017500,"Census Tract 175, Kings County, New York",Brooklyn,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36047017600,"Census Tract 176, Kings County, New York",Brooklyn,1222,277,464,166,401,160,63,41,43,34,0,14,0,14,20,29,0,14,565,194,226,143,339,107,0,14,0,14,0,14,21,27,0,14,0,14,70,49,0,14,102,55
1400000US36047017700,"Census Tract 177, Kings County, New York",Brooklyn,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36047017800,"Census Tract 178, Kings County, New York",Brooklyn,1087,203,258,155,209,130,49,55,7,9,38,54,0,14,4,7,0,14,587,144,109,65,470,147,8,13,0,14,0,14,0,14,0,14,26,27,76,47,30,32,110,53
1400000US36047017900,"Census Tract 179, Kings County, New York",Brooklyn,1681,273,228,123,150,108,78,59,65,52,13,21,0,14,0,14,0,14,694,191,154,124,500,142,0,14,0,14,40,66,35,43,30,44,27,26,16,20,22,27,629,234
1400000US36047018000,"Census Tract 180, Kings County, New York",Brooklyn,1132,431,289,103,215,86,74,41,55,33,0,14,9,14,0,14,10,16,555,348,77,49,478,338,0,14,0,14,0,14,0,14,0,14,50,39,53,62,9,15,176,95
1400000US36047018100,"Census Tract 181, Kings County, New York",Brooklyn,2679,456,155,153,155,153,0,14,0,14,0,14,0,14,0,14,0,14,1087,330,47,43,1024,328,16,25,0,14,0,14,66,105,0,14,94,74,208,134,0,14,1069,365
1400000US36047018200,"Census Tract 182, Kings County, New York",Brooklyn,1694,379,448,189,385,180,63,50,32,28,31,36,0,14,0,14,0,14,743,309,187,124,556,253,0,14,0,14,0,14,0,14,57,89,50,58,116,75,0,14,280,117
1400000US36047018300,"Census Tract 183, Kings County, New York",Brooklyn,1907,271,207,114,197,115,10,16,10,16,0,14,0,14,0,14,0,14,605,136,0,14,586,135,0,14,0,14,19,19,13,22,0,14,54,49,210,86,0,14,818,245
